med_id,medicine_name,type,months_to_expiry,unit_cost
Y76G27586,Winin,Respiratory,12,70
S73B500504,Threatin,Antifungal,12,600
C7L472478,Mouthxone,Anticonvulsant,12,300
I92G735937,Teachxone,Antifungal,12,150
E78O562213,Effectxone,Anti-inflammatory,12,550
U38Q111198,Guessxone,Antifungal,12,600
O16K271267,Newszepam,Immunosuppressant,12,50
X14Q901275,Spendzepam,Diuretic,12,65
V16N258803,Churchol,Vitamin,12,600
X58U768313,Sharein,Antidepressant,12,200
B0M207521,Whatevercillin,Anti-inflammatory,12,500
O46P350595,Rateol,Anticoagulant,12,95
F36L874767,Firmin,Anti-inflammatory,12,90
V57N430219,Freexone,Antipsychotic,12,120
I24Q584517,Simplein,Cardiovascular,12,650
U35K702611,Pickstatin,Anticoagulant,12,90
T76Y682639,Firevir,Respiratory,12,250
D19S237935,Allowol,Anticoagulant,12,65
Y84P200916,Democratxone,Antidepressant,12,105
A85K129736,Servicexone,Steroid,12,300
V61S576515,Continueol,Antipsychotic,12,200
Z78A347603,Wellzepam,MuscleRelaxant,12,550
R63T821529,Somethingstatin,Steroid,12,100
X69W175958,Existcillin,MuscleRelaxant,12,75
P89I43268,Leavexone,Antifungal,12,90
Q52Y873210,Thousandstatin,MuscleRelaxant,12,650
J66U514693,Firmxone,Anticoagulant,12,105
O46B994222,Benefitin,Antipyretic,12,550
Z75R657370,Theyxone,Antibiotic,12,105
X85Y523735,Lawyerstatin,Antipsychotic,12,450
P58I683536,Materialstatin,Antifungal,12,250
T18C625111,Audiencein,Antifungal,12,500
E57L220891,Forxone,Cardiovascular,12,550
K99D188517,Environmentstatin,Immunosuppressant,12,300
S72B971206,Actuallyxone,Anti-inflammatory,12,450
Z60G159503,Prettyvir,Antipsychotic,12,500
W0M712424,Centralin,Steroid,12,90
H26J961419,Tostatin,Antiviral,12,55
Y0W359779,Churchzepam,Anticonvulsant,12,70
W65Y553435,Mostin,Vitamin,12,100
M62P329303,Interestingstatin,MuscleRelaxant,12,500
G76D368517,Federalol,Steroid,12,95
K1L750494,Weightol,Antiviral,12,60
H58T134460,Carrycillin,Antipsychotic,12,250
V8X675805,Countryvir,Respiratory,12,75
N73C571518,Safestatin,Anticoagulant,12,300
V14F848878,Finevir,Diuretic,12,300
O82E193901,Employeestatin,Antihypertensive,12,70
V79L728736,Thankol,Respiratory,12,450
O30E395123,Eachstatin,Vitamin,12,120
Z28U485571,Rockxone,MuscleRelaxant,12,300
C11M748254,Downstatin,Antipyretic,12,110
Z76M679092,Thankzepam,Antihypertensive,12,55
S29H713417,Cameraxone,Antipyretic,12,450
I38Y853380,Girlzepam,Cardiovascular,12,55
Z59F732730,Weightvir,Immunosuppressant,12,55
X61T466186,Growthol,Anticonvulsant,12,75
Q17W13426,Acrosszepam,Vitamin,12,70
J99C830815,Leftin,MuscleRelaxant,12,100
G19P560272,Meetcillin,Diuretic,12,450
W98Y958265,Makeol,Vaccine,12,600
U60T605175,Majorvir,Analgesic,12,80
D13W988754,Needin,Antihypertensive,12,250
G38I966618,Authorcillin,Anticonvulsant,12,80
Q98W88788,Twocillin,Steroid,12,650
G6L881473,Upstatin,Anticoagulant,12,150
H49L382013,Girlvir,Antihypertensive,12,550
N64E112203,Deepzepam,Antidepressant,12,450
L14W178710,Happyin,Antifungal,12,120
O95O208434,Monthin,Vitamin,12,250
Z99P432730,Floorstatin,Vaccine,12,350
E90K306921,Storevir,Anticoagulant,12,300
K95D787518,Energyxone,Immunosuppressant,12,95
G78D852923,Socialvir,Diuretic,12,550
W15Q657640,Stagecillin,Vaccine,12,105
T64J41804,Magazineol,Antidepressant,12,500
C54J176343,Toxone,Respiratory,12,65
K22O33610,Analysisin,Antipsychotic,12,200
V22Q610099,Pickstatin,Antihypertensive,12,55
A68F481568,Politicsin,Antipyretic,12,110
F36K514871,Roadcillin,Antifungal,12,600
R62E165593,Hearxone,Antibiotic,12,300
U59H444060,Tablevir,Antidepressant,12,650
V28U945913,Physicalstatin,Antihistamine,12,400
A42W509459,Focusxone,Antipyretic,12,250
P56C639999,Peoplezepam,Antifungal,12,650
W89R581178,Leaderstatin,Antihypertensive,12,550
H78A176483,Candidateol,MuscleRelaxant,12,130
V23U961192,Almostvir,Anticoagulant,12,90
O92J204634,Partxone,Antidepressant,12,250
R15O989453,Ballxone,Antiviral,12,55
T78I428662,Variousxone,Diuretic,12,250
Q89M482551,Hospitalol,Immunosuppressant,12,115
A41W422450,Orderol,Vaccine,12,250
J49Q689540,Instatin,Analgesic,12,300
F27F631601,Herselfxone,Steroid,12,95
E41V116735,Executivevir,Antiviral,12,500
V57N173967,Somethingzepam,Anti-inflammatory,12,600
J82H376101,Certainlyzepam,Anti-inflammatory,12,95
K93F808509,Weekol,Analgesic,12,300
Z82O638809,Almostcillin,Antipyretic,12,100
H50L595421,Fivezepam,Anticoagulant,12,150
F63M313190,Noticecillin,Antifungal,12,650
J81H634997,Smilevir,Antifungal,12,200
Q42T167912,Realvir,Vitamin,12,65
R7E864301,Manycillin,Cardiovascular,12,95
Q40Z717350,Addresscillin,Antipsychotic,12,300
P86T429084,Meol,Vaccine,12,350
P28Z661614,Myxone,Analgesic,12,95
U20Z948376,Interestingvir,MuscleRelaxant,12,300
T90N301789,Themselvescillin,Antidepressant,12,300
Y7G883541,Cameraxone,MuscleRelaxant,12,125
R97Q705587,Losevir,Respiratory,12,80
N63R291676,Onezepam,Vaccine,12,350
S65K843606,Duringstatin,Antipsychotic,12,400
X45I513712,Givestatin,MuscleRelaxant,12,80
K67Q320373,Taxxone,MuscleRelaxant,12,95
O24P607434,Itselfxone,Vaccine,12,85
J19O936027,Particularcillin,Anticonvulsant,12,65
D55Q34445,Mattercillin,Respiratory,12,70
E87A764864,Centralin,Antihistamine,12,450
I35U350089,Needxone,Antifungal,12,80
S37B741222,Supportzepam,Anti-inflammatory,12,50
K88G788569,Reallyvir,Antihypertensive,12,450
P30M548234,Avoidcillin,Antihypertensive,12,400
G52M563344,Takezepam,Antihypertensive,12,200
L55C108038,Goodol,Antifungal,12,250
T90F895948,Studentcillin,Diuretic,12,300
L57I251712,Newcillin,Steroid,12,55
V19A755512,Differentin,Diuretic,12,55
J9B989418,Requireol,MuscleRelaxant,12,95
K41S682946,Thenzepam,Antiviral,12,115
S27W287033,Societystatin,Cardiovascular,12,55
J88U143628,Wrongvir,Antipyretic,12,75
V58Q183865,Focusol,Steroid,12,70
G19J138162,Neverzepam,Analgesic,12,95
K45S990063,Buyxone,Steroid,12,300
G92X779653,Successfulzepam,Antipyretic,12,80
R89Q762054,Womancillin,Antihypertensive,12,500
D78D354723,Kindvir,Immunosuppressant,12,115
Z47Z254449,Mentioncillin,Antipsychotic,12,55
H59H333295,Tryin,Steroid,12,250
Q41E633582,Politicsol,Antiviral,12,90
Q89X423980,Directionzepam,Cardiovascular,12,140
U25S874861,Hereol,Antidepressant,12,550
D64P253482,Memoryvir,Anti-inflammatory,12,200
P18Z769524,Hezepam,Analgesic,12,650
N11B598074,Specialol,Antifungal,12,450
M28S75673,Turnvir,Antiviral,12,65
D69T411306,Thezepam,Steroid,12,300
K47B430186,Differencevir,MuscleRelaxant,12,70
A40V2061,Coldol,Anticoagulant,12,150
K14Z969081,Ideaol,Steroid,12,300
N30G703198,Nationalxone,Respiratory,12,85
M88U997280,Agein,Antihistamine,12,650
X14X457653,Carxone,Analgesic,12,80
S17P152080,Chaircillin,Anticoagulant,12,200
C73A107756,Andcillin,Antipyretic,12,650
T47U995492,Testzepam,Antibiotic,12,150
L75J1802,Publicol,Immunosuppressant,12,500
R74L474867,Takestatin,Analgesic,12,250
A91J786107,Kidzepam,MuscleRelaxant,12,150
F39N634913,Sitzepam,MuscleRelaxant,12,300
Q88J845136,Goodstatin,Cardiovascular,12,85
A9G559062,Classstatin,Anticoagulant,12,70
R87A931142,Figurecillin,Steroid,12,55
A97Q976161,Costzepam,Antipyretic,12,150
P98C692428,Buyvir,Antidepressant,12,50
P79S200538,Qualityvir,Steroid,12,650
P45T654955,Sectionxone,Vitamin,12,150
U40H554101,Mediain,Antihistamine,12,110
P35E162544,Ideain,Diuretic,12,250
I13A604649,Middleol,Antihypertensive,12,105
J16M288496,Involvexone,Antidepressant,12,500
R42Q589259,Optionvir,Antihistamine,12,650
G7Z520291,Articlestatin,Antifungal,12,300
A92X401927,Himol,Respiratory,12,250
X66D8602,Voicevir,Vaccine,12,65
R19X66576,Treatmentxone,Cardiovascular,12,110
Z89L284744,Somebodycillin,Anti-inflammatory,12,150
D84A919174,Experiencexone,Anticoagulant,12,70
I32F691644,Maintainol,Antihistamine,12,90
V4U451295,Rulestatin,Antiviral,12,150
U3Y21752,Specificin,Antipsychotic,12,300
Y41C672363,Improveol,Immunosuppressant,12,60
Y2Q197671,Samezepam,Vaccine,12,300
Z38O641651,Jobol,MuscleRelaxant,12,135
O25W204962,Hezepam,Antifungal,12,250
N89X922108,Workerol,Antipsychotic,12,80
N59G191953,Suchol,Antihypertensive,12,500
S81P331666,Policein,Antipsychotic,12,400
A71H454921,Networkxone,Antihistamine,12,550
I41I492000,Momentstatin,Immunosuppressant,12,90
X44Y419288,Televisionol,Antihypertensive,12,300
E15E72941,Identifyzepam,Cardiovascular,12,350
Y34P429371,Politicalol,Antipyretic,12,115
I68F167782,Arguestatin,Anti-inflammatory,12,105
I4X229227,Daughterstatin,Cardiovascular,12,250
I67Y878590,Indeedol,Antidepressant,12,100
C76S594864,Bodyxone,Respiratory,12,600
I40N300841,Noticeol,Antihypertensive,12,100
F60T428507,Feelvir,Cardiovascular,12,45
T50D330476,Choosecillin,MuscleRelaxant,12,120
F83B906785,Laterin,Antiviral,12,60
S66M449402,Laterzepam,Antipsychotic,12,100
U6R99569,Gunol,Anticonvulsant,12,300
O90C785701,Sisterxone,Antidepressant,12,500
I71S627326,Identifystatin,Diuretic,12,400
C92U805428,Becausein,Antihypertensive,12,120
E76E797998,Westernzepam,Antifungal,12,75
V74M156937,Responsibilitycillin,Antiviral,12,80
M5F350538,Decidezepam,Antihypertensive,12,105
A23U435496,Checkstatin,Cardiovascular,12,90
V47L385486,Crimezepam,Vaccine,12,550
C94L281733,Communityin,Antibiotic,12,300
R95Z50146,Tellstatin,Diuretic,12,55
U83T993970,Ain,Vitamin,12,350
P27S81809,Faststatin,MuscleRelaxant,12,350
J15I808994,Starzepam,Diuretic,12,60
B66A732573,Rightzepam,Anti-inflammatory,12,100
T88R708256,Truthvir,Antipyretic,12,350
Y90V397520,Pressurecillin,Antidepressant,12,65
R28P678164,Sensecillin,Vaccine,12,450
E76J561311,Nextcillin,Immunosuppressant,12,125
M62I341585,Thoughol,Diuretic,12,300
K68A824404,Decidevir,Antibiotic,12,600
C75Z906642,Changestatin,Vitamin,12,250
B62O876034,Townstatin,Vaccine,12,115
C11X255301,Foreignvir,Vaccine,12,100
S38Z869555,Happenzepam,Antiviral,12,200
T36Y975908,Variousol,Antihistamine,12,85
H51E972753,Paststatin,Diuretic,12,350
H70B449456,Eightol,Antifungal,12,550
I37N113591,Westin,Anticonvulsant,12,75
H22M111512,Seasonvir,Antihistamine,12,50
T73B127929,Thisxone,Antihistamine,12,80
I63X676873,Checkin,Anticoagulant,12,65
D31S810256,Avir,Respiratory,12,200
J21X378880,Experiencein,Analgesic,12,150
D29F787987,Kindxone,Anti-inflammatory,12,300
B34P769373,Doin,Vitamin,12,650
H15P949960,Oncein,Antihistamine,12,75
Y6J945093,Artcillin,Respiratory,12,110
G72R956698,Forol,Anti-inflammatory,12,200
U50G147036,Happyvir,Anticoagulant,12,500
U52B709612,Fineol,Antiviral,12,200
I7W437720,Hospitalin,Immunosuppressant,12,600
E90V477060,Thoughtzepam,Cardiovascular,12,450
B98K25018,Securityin,Antiviral,12,115
K46E751428,Bothcillin,MuscleRelaxant,12,85
I11I571993,Upol,Antidepressant,12,115
T11F373685,Bagcillin,Antidepressant,12,500
B3Q343150,Talkcillin,MuscleRelaxant,12,50
S30M828408,Keepcillin,Antipyretic,12,200
W91B406807,Fieldin,Vitamin,12,300
H11Z65786,Timestatin,Anticonvulsant,12,200
L18Q245375,Enjoycillin,Anticoagulant,12,75
R88W974714,Artistzepam,Immunosuppressant,12,300
T88R961411,Putol,Antipsychotic,12,600
U79W187107,Occurxone,Analgesic,12,55
A4W163024,Participantcillin,Diuretic,12,150
H97H616753,Managementxone,Vaccine,12,80
F96R446229,Orstatin,Anti-inflammatory,12,350
H79M324055,Realvir,Vitamin,12,55
D72Y675560,Writexone,Analgesic,12,200
X43U532764,Oftenxone,Antipyretic,12,110
D24C973004,Stateol,Antifungal,12,145
E62L864541,Centuryin,Antiviral,12,85
H77N656968,Actol,Antibiotic,12,650
B0W158339,Foodol,Antihypertensive,12,250
V57Y647495,Cupin,Respiratory,12,450
E58P680625,Possiblecillin,Antibiotic,12,80
E62S86038,Inol,MuscleRelaxant,12,120
J94K107913,Groupin,Steroid,12,200
D37S887158,Chairol,Steroid,12,300
F6F612199,Politicalvir,Diuretic,12,200
V84Z849833,Formerol,Antipyretic,12,600
M74K446831,Placezepam,Antifungal,12,120
Q93T762389,Pickvir,Antibiotic,12,400
W68P839310,Directorvir,Antidepressant,12,200
X83K591552,Gasxone,Respiratory,12,80
Q91C867536,Smallcillin,Antiviral,12,65
S96Z702702,Happyin,Antipsychotic,12,500
Q27P526585,Yesvir,Analgesic,12,600
B77L536700,Perhapszepam,Vitamin,12,90
J68I396969,Democraticol,MuscleRelaxant,12,350
Y51W162172,Howeverol,Anticoagulant,12,75
Y57E849503,Finishzepam,Anti-inflammatory,12,350
Q74W45199,Measurexone,Anti-inflammatory,12,80
D71Z195978,Formstatin,Anti-inflammatory,12,110
S47H871496,Behindxone,Respiratory,12,500
H31Z11954,Traditionalol,Immunosuppressant,12,650
V59V749303,Increasecillin,Immunosuppressant,12,150
H44Q378730,Republicanzepam,Respiratory,12,300
B7Q266421,Mightol,Antipyretic,12,105
O2O830910,Entirein,Analgesic,12,150
O67A603844,Coldol,Antipsychotic,12,75
F65I342630,Thousandxone,Vitamin,12,100
F12C535578,Clearin,Antifungal,12,600
D22W231613,Redvir,Cardiovascular,12,95
X23K28744,Fearzepam,Respiratory,12,115
A12Z288533,Existol,Antihypertensive,12,90
K29P760377,Lookcillin,Antiviral,12,200
N76B802183,Termol,Antibiotic,12,70
X23H760822,Despitezepam,Antidepressant,12,300
K82P410382,Developvir,Antidepressant,12,350
J56S560489,Democraticol,Anticoagulant,12,120
Z32D243343,Possiblexone,Respiratory,12,350
K99R805037,Darkzepam,Anticonvulsant,12,400
D20W583939,Directorxone,Antiviral,12,90
T40H643106,Chargecillin,Antihypertensive,12,400
L9X327490,Dropzepam,Anti-inflammatory,12,400
G49U984435,Forwardzepam,Vitamin,12,115
K17H841986,Morningzepam,Antifungal,12,60
Y27M994221,Mustol,Antipyretic,12,350
N0Y659840,Thanzepam,Antipyretic,12,450
G15Z722741,Pagezepam,Cardiovascular,12,250
X59J608674,Establishol,Respiratory,12,55
Z12H484677,Ontocillin,Analgesic,12,75
D70J972757,Conditionstatin,Antifungal,12,450
R80Y483031,Interestingxone,Antifungal,12,90
G30M721122,Republicanvir,MuscleRelaxant,12,600
Q16O749682,Openstatin,Steroid,12,350
S56P739478,Bothin,Anti-inflammatory,12,300
F15C782836,Onin,Vitamin,12,80
A57A337496,Chancexone,Antiviral,12,90
N80C220367,Popularxone,Immunosuppressant,12,450
C0M305964,Stagein,Antipsychotic,12,105
H58K735006,Audiencevir,Respiratory,12,85
F5B271597,Onceol,Antibiotic,12,115
U54D396880,Oftenvir,Vaccine,12,400
X29O726969,Adultxone,Vitamin,12,550
F50O756044,Himin,Analgesic,12,350
D84A754620,Fillol,Antifungal,12,200
M8U902415,Duringcillin,Diuretic,12,550
H41I297756,Classzepam,Antihypertensive,12,90
W20H131713,Specificxone,Antihistamine,12,350
X27A81002,Modelol,Antihistamine,12,120
P57Y467172,Dreamol,Diuretic,12,600
E45N655740,Westvir,Antidepressant,12,95
M64H304514,Writestatin,Antipsychotic,12,70
H21L537643,Generationcillin,MuscleRelaxant,12,650
B0I581458,Wezepam,Antipyretic,12,300
W73L65047,Largexone,Antidepressant,12,95
D31N924921,Performin,Antipyretic,12,115
V25J759977,Mein,Antifungal,12,400
K66Z157374,Listvir,Antibiotic,12,70
A6Y291217,Ofzepam,MuscleRelaxant,12,120
C49Q820074,Firmol,Analgesic,12,300
H78G32474,Dropvir,Cardiovascular,12,650
M92Y167448,Certainlyvir,MuscleRelaxant,12,95
W26S841793,Yourol,Antipsychotic,12,400
L3I937957,Rateol,Immunosuppressant,12,200
W46S20437,Fillcillin,Respiratory,12,650
B50U575328,Wantcillin,Antibiotic,12,400
C66N115897,Approachvir,MuscleRelaxant,12,300
W67Y929817,Forwardvir,Diuretic,12,75
Q2L245905,Opportunityxone,Cardiovascular,12,150
V59O334458,Opportunityzepam,MuscleRelaxant,12,105
M49U112728,Artcillin,Steroid,12,75
E14L33890,Othersin,Antiviral,12,350
G27K722930,Clearol,Anti-inflammatory,12,500
Y50J29468,Millionzepam,Anticonvulsant,12,100
N98B965042,Foodol,Antiviral,12,450
C5R902285,Risevir,Antipsychotic,12,300
B93E606068,Standardzepam,Analgesic,12,65
F75R488481,Eachol,Vitamin,12,500
X57I983968,Possiblecillin,Vitamin,12,75
E76R807625,Withvir,Antidepressant,12,60
F18D174643,Hitstatin,Antiviral,12,500
B63T430748,Sourcevir,MuscleRelaxant,12,85
E11P150967,Currentvir,Antiviral,12,300
O66S929992,Cutol,Immunosuppressant,12,115
J89V189036,Revealol,Antipsychotic,12,350
Z80Q368578,Coverin,Antipsychotic,12,150
F5A879054,Sixin,Antidepressant,12,120
P60L594087,Maycillin,Antihypertensive,12,600
V56D404483,Consumerin,Anticonvulsant,12,90
F67M198755,Necessaryol,Anti-inflammatory,12,105
E3G977184,Wholevir,Vaccine,12,250
V59G319299,Personstatin,Analgesic,12,80
J40P68802,Improvecillin,Antihypertensive,12,200
E34G875524,Beforevir,Vitamin,12,115
Q5Z559437,Authorityzepam,Antifungal,12,65
E49F937544,Internationalstatin,Cardiovascular,12,350
V78H642391,Howcillin,Anticonvulsant,12,400
O69Q522090,Fightvir,Vaccine,12,90
O7N651239,Okvir,Antihypertensive,12,500
F69L342697,Firmol,Antipsychotic,12,300
D21I247427,Probablystatin,Diuretic,12,75
T32E559456,Researchol,Antiviral,12,50
J51Y785710,Beyondzepam,Antibiotic,12,90
U5T707347,Mouthstatin,MuscleRelaxant,12,200
R1K49126,Tendstatin,Antipyretic,12,250
L72M731559,Areavir,MuscleRelaxant,12,300
E21V841220,Projectol,Antifungal,12,65
M16C99010,Latervir,Anti-inflammatory,12,115
Z24W675896,Politicalstatin,Antidepressant,12,300
M70G822503,Missin,Antifungal,12,150
D61L805215,Starcillin,Antihistamine,12,90
A77X611527,Modelin,Vaccine,12,80
A38S670581,Ableol,Antihistamine,12,105
E19W253444,Streetstatin,Steroid,12,125
F31E194938,Intostatin,Anticonvulsant,12,115
A99O622259,Comparexone,Antifungal,12,200
T99A132785,Soldierol,Anticonvulsant,12,200
S54T374624,Assumevir,Anti-inflammatory,12,90
F31Q374483,Billcillin,Diuretic,12,105
A78E552320,Breakin,Anti-inflammatory,12,60
L56Y714091,Considerin,Antidepressant,12,450
F11Z385562,Humanzepam,Analgesic,12,75
T91O299877,Layin,Antihistamine,12,115
X12B321306,Leadvir,Antibiotic,12,400
B10Y35831,Racein,Steroid,12,85
C55B711999,Fishzepam,Steroid,12,650
H70V571721,Ablecillin,Antidepressant,12,450
G48U597043,Degreexone,Antifungal,12,350
Z65W788684,Recognizezepam,Diuretic,12,400
Y2J783046,Occurvir,Antiviral,12,550
P3R946054,Finishstatin,Vitamin,12,350
E93W934132,Stockol,Antihypertensive,12,300
U8V454633,Everythingxone,Antipsychotic,12,450
T82U770965,Checkcillin,Antifungal,12,150
V86C469798,Nonecillin,Anti-inflammatory,12,145
S4Y506222,Bornstatin,Anticoagulant,12,150
J83Q877596,Waitstatin,Analgesic,12,350
B8Z945033,Whichol,Vaccine,12,150
I80T77109,Clearin,Respiratory,12,600
O74J448610,Plantstatin,Antidepressant,12,150
S31S330574,Candidatein,Antipyretic,12,95
W53G800783,Actionin,Antidepressant,12,250
B72P594188,Responsestatin,Antihypertensive,12,90
I29X740441,Herselfin,Antipyretic,12,70
Q97C367660,Weightvir,Anticoagulant,12,120
T74L661900,Gardenin,Antipsychotic,12,75
R35O670784,Middlezepam,Antibiotic,12,300
P82E688484,Everybodyin,Antidepressant,12,145
F90L466449,Agreementvir,Antifungal,12,400
F35L437676,Comparein,Vaccine,12,300
M37I830168,Ownervir,Steroid,12,550
F64G596695,Allowin,Antidepressant,12,400
K12J206738,Regionxone,Steroid,12,60
U85J483656,Pagexone,Antihistamine,12,350
Y89P800329,Drawol,Respiratory,12,75
O54K243840,Downcillin,Antibiotic,12,450
K24V6060,Babycillin,Antifungal,12,65
M53G597841,Raisein,Vaccine,12,115
U34H546140,Voicexone,MuscleRelaxant,12,65
B14T780947,Doxone,Antipyretic,12,450
B65P409759,Radiovir,Anti-inflammatory,12,300
G86W957823,Importantol,Antipyretic,12,80
J90M126751,Myol,Steroid,12,110
R40C200912,Reallyin,Antiviral,12,400
T81C196475,Easyvir,Diuretic,12,400
O95T717454,Outin,Antibiotic,12,80
C11X180842,Leaderstatin,Respiratory,12,250
P86B348190,Commonvir,Immunosuppressant,12,200
O95H397147,Leftin,Respiratory,12,150
K53D721723,Behaviorxone,Antihypertensive,12,85
W47D573169,Religiouszepam,Anticonvulsant,12,140
N23J814001,Economyxone,Antiviral,12,140
V9T697928,Approachvir,Antiviral,12,120
C82E316733,Takestatin,Antiviral,12,85
W84N493229,Assumein,Anticoagulant,12,200
I68G196002,Kitchenstatin,Antifungal,12,400
Q57P430711,Severalin,Antibiotic,12,105
K91H343832,Seniorxone,Vitamin,12,65
K75G99146,Goin,Antifungal,12,70
A66O24614,Countryzepam,Anticonvulsant,12,50
U94R443779,Stationin,Cardiovascular,12,650
V80C49599,Stopol,Immunosuppressant,12,90
C35H586201,Professorxone,Vaccine,12,650
V12F944767,Considervir,Cardiovascular,12,65
E93U307812,Buildin,Anticonvulsant,12,150
U37D210864,Requirevir,Vitamin,12,450
K60O78911,Visitzepam,Antifungal,12,150
X50F19773,Needzepam,Antidepressant,12,450
W83I168523,Piecevir,Antipsychotic,12,500
N95Z7276,Considerol,Antihypertensive,12,650
P61Q221933,Gunzepam,Anti-inflammatory,12,350
B28C819608,Unitstatin,Antihistamine,12,55
V68H508836,Leavexone,Respiratory,12,500
R73I147474,Collegein,Anticoagulant,12,600
E57L29108,Boardzepam,Vaccine,12,65
O82T628959,Abilitystatin,Vaccine,12,300
B90Z491412,Careerol,Antihistamine,12,500
Y78W421773,Imageol,MuscleRelaxant,12,650
D24I157796,Fromxone,Respiratory,12,135
R40M446193,Aroundxone,Antihypertensive,12,300
Z95H219687,Centralin,Anticoagulant,12,600
Y16C348748,Culturalxone,Antipyretic,12,200
X71H111091,Eveningin,Anticoagulant,12,450
K69Q160573,Aftercillin,Analgesic,12,95
T88A663119,Appearcillin,Analgesic,12,600
J42G977261,Dropin,Immunosuppressant,12,110
Y73H355706,Mrxone,Analgesic,12,120
R33I168017,Seniorstatin,Antipyretic,12,400
S73D380403,Seasoncillin,Vitamin,12,90
G61X945282,Adultol,Antipsychotic,12,75
H64Z303255,Herevir,Diuretic,12,400
R72V347147,Finishcillin,Antihistamine,12,105
E29W882716,Beautifulvir,Anticonvulsant,12,550
A67H148568,Comparecillin,Antihypertensive,12,200
J29R167117,Sufferxone,Analgesic,12,115
S81V883072,Collegexone,Antibiotic,12,650
L23E161124,Worryxone,Anticoagulant,12,70
C61A756473,Reallyvir,Vitamin,12,50
C52L355668,Actuallyin,Antifungal,12,85
I65P558715,Possiblevir,Anticoagulant,12,110
A61M23854,Otherscillin,Vitamin,12,60
Y2N142192,Energyzepam,Antipsychotic,12,400
F0M435550,Totalstatin,Cardiovascular,12,200
